Subject,selectionrate,Abstraction,PracticeRT,PracticeErr,SelectionRT,SelectionErr,Experiment,WorkingMem
121,0.26,2,1142.2252,0.7678571,880.1386,0.9261364,Feature,0
122,0.5,2,1094.992,0.7767857,888.0757,0.9121212,Feature,0
123,0.38,2,1301.0304,0.7857143,1143.8386,0.8712121,Feature,0
106,0.02040816,2,1371.3436,0.9464286,1158.4659,0.9090909,Feature,0
107,0.38,2,871.9882,1,886.4664,1,Feature,0
109,0.1,2,1074.4985,0.9196429,777.1,0.9090909,Feature,0
110,0,2,1247.6107,0.9107143,,,Feature,0
111,0.48,2,1142.7072,0.9553571,758.3337,0.9431818,Feature,0
112,0.36,2,1240.8141,0.9107143,910.5716,0.9569378,Feature,0
113,0,2,1394.3686,0.9642857,,,Feature,0
114,0,2,1392.7681,0.9285714,,,Feature,0
116,0,2,1548.0808,0.875,,,Feature,0
117,0.48,2,818.5326,0.9910714,736.2037,0.9507576,Feature,0
118,0.02,2,1222.0165,0.9196429,1243.5896,0.8181818,Feature,0
119,0.02,2,1437.4995,0.9642857,958.6357,0.9090909,Feature,0
120,0.22,2,1330.1114,0.9464286,1141.2801,0.9772727,Feature,0
21,0,2,1428.7709,0.9821429,,,Feature,0
122,0.98,2,1154.0495,0.9821429,797.0191,0.9763636,Feature,0
123,0.48,2,1470.2483,0.9821429,1112.6548,0.9672727,Feature,0
